,Car Brand,Car Model,Year,Engine Size (L),Horsepower (hp),Torque (lb-ft),0-60 mph Time (s)
0,Ferrari,Mustang Shelby GT500,2022,4.08,896,1175,4.21
1,Polestar,GT-R Nismo,2020,5.92,1336,710,2.76
2,Ferrari,GT-R Nismo,2019,4.31,413,512,3.26
3,Alfa Romeo,Challenger SRT Hellcat,2023,7.42,684,803,2.63
4,Subaru,Supra,2018,7.32,1219,866,2.19
5,Lexus,Mustang Shelby GT500,2017,3.11,1453,564,2.03
6,Lamborghini,720S,2023,3.32,408,910,2.78
7,Lamborghini,Vantage,2020,4.95,1120,795,2.11
8,Lotus,Huracan Evo,2020,4.07,369,944,2.97
9,Mazda,R8 V10 Plus,2020,5.62,832,404,3.83
10,Ford,GT R,2022,7.38,918,991,2.86
11,TVR,R8 V10 Plus,2018,6.72,371,1123,2.16
12,Bugatti,NSX,2018,6.55,1242,497,4.24
13,Bentley,Mustang Shelby GT500,2016,5.05,997,618,3.66
14,Ultima,NSX,2021,5.19,757,626,4.42
15,Ford,GT-R Nismo,2016,3.51,1295,1035,2.2
16,Mercedes-AMG,Mustang Shelby GT500,2023,6.7,654,696,4.42
17,Koenigsegg,GT R,2023,4.39,836,379,2.09
18,Audi,Corvette Z06,2023,4.43,486,764,3.05
19,Aston Martin,911 Turbo S,2023,4.17,1271,491,3.13
20,Maserati,F-Type SVR,2023,6.67,1237,1163,2.01
21,Bugatti,Challenger SRT Hellcat,2019,6.69,1183,665,3.46
22,Dodge,M4,2020,4.36,543,1154,3.99
23,Alpine,Mustang Shelby GT500,2016,4.94,1365,1043,4.47
24,Acura,M4,2022,3.07,1445,1077,2.8
25,Audi,M4,2016,3.03,1349,803,2.9
26,Aston Martin,Challenger SRT Hellcat,2016,5.67,522,998,4.05
27,Bentley,GT-R Nismo,2018,4.3,596,633,4.39
28,Alpine,Challenger SRT Hellcat,2021,3.46,747,685,3.83
29,Pininfarina,Mustang Shelby GT500,2021,5.7,925,461,3.5
30,Audi,GT-R Nismo,2021,3.54,642,554,3.23
31,Pagani,720S,2016,7.09,1192,455,2.68
32,Mazda,GT R,2017,4.08,336,775,3.56
33,Lamborghini,M4,2018,3.78,425,348,2.61
34,Rolls-Royce,488 GTB,2018,7.66,553,712,2.96
35,Porsche,M4,2019,7.16,1202,301,2.92
36,BMW,Huracan Evo,2021,3.38,854,448,2.67
37,Ultima,NSX,2021,3.34,1457,441,4.18
38,Pininfarina,R8 V10 Plus,2023,6.5,1422,787,2.25
39,Toyota,Mustang Shelby GT500,2020,7.19,1317,310,3.92
40,Aston Martin,Corvette Z06,2020,7.43,1128,859,2.27
41,Lamborghini,R8 V10 Plus,2020,7.02,1496,903,4.16
42,Ford,M4,2019,4.93,821,390,3.53
43,Ultima,911 Turbo S,2020,7.46,794,939,3.2
44,Dodge,Vantage,2019,7.15,1015,471,3.88
45,Alpine,911 Turbo S,2020,5.42,1291,1089,3.23
46,Koenigsegg,720S,2021,6.36,1042,1150,3.86
47,Bentley,GT R,2018,5.78,997,409,2.89
48,Mercedes-AMG,Huracan Evo,2022,7.39,543,936,3.62
49,Chevrolet,911 Turbo S,2022,4.85,400,799,2.31
50,Porsche,M4,2018,6.27,1129,328,3.81
51,Chevrolet,GT-R Nismo,2017,5.87,1173,1016,2.32
52,W Motors,Vantage,2023,6.9,747,1097,2.18
53,Pagani,F-Type SVR,2020,7.33,792,359,2.82
54,Mercedes-Benz,Vantage,2018,5.61,1375,599,3.72
55,Nissan,R8 V10 Plus,2017,7.01,583,656,2.36
56,W Motors,NSX,2022,5.0,1469,571,3.29
57,Audi,Huracan Evo,2023,3.28,805,315,3.55
58,TVR,Supra,2016,5.46,363,409,2.13
59,Maserati,720S,2017,3.17,963,977,2.72
60,Toyota,NSX,2018,5.88,898,464,2.39
61,BMW,720S,2019,3.26,350,740,3.24
62,Bentley,NSX,2023,6.44,664,535,2.45
63,Dodge,F-Type SVR,2021,3.12,919,869,3.27
64,Ferrari,Supra,2021,5.03,975,619,2.38
65,Dodge,911 Turbo S,2019,7.76,1308,744,4.16
66,Alpine,Corvette Z06,2019,5.19,803,976,3.43
67,Tesla,911 Turbo S,2018,4.98,1336,938,2.17
68,Porsche,M4,2018,3.5,777,544,3.05
69,TVR,NSX,2022,7.26,1380,890,3.66
70,BMW,NSX,2016,3.56,1274,647,3.16
71,Acura,Huracan Evo,2022,4.62,307,467,2.97
72,Tesla,GT-R Nismo,2019,6.18,354,787,3.86
73,Chevrolet,R8 V10 Plus,2022,3.6,1300,498,4.09
74,Aston Martin,911 Turbo S,2021,6.93,358,697,3.44
75,Subaru,NSX,2019,3.13,966,937,2.37
76,Mercedes-Benz,NSX,2022,6.32,1232,731,4.01
77,Lamborghini,M4,2022,3.64,606,1126,2.53
78,Alfa Romeo,Huracan Evo,2019,4.93,1123,379,3.12
79,Mercedes-Benz,488 GTB,2021,6.93,659,570,2.84
80,Maserati,Mustang Shelby GT500,2018,7.26,399,405,3.87
81,Aston Martin,Supra,2022,4.43,562,1077,4.42
82,Mazda,488 GTB,2021,6.16,519,809,2.32
83,Tesla,Huracan Evo,2018,6.89,1085,835,2.17
84,McLaren,Mustang Shelby GT500,2017,5.47,789,901,4.1
85,Bentley,Challenger SRT Hellcat,2016,4.06,1470,636,4.25
86,Rimac,GT-R Nismo,2021,7.34,1205,996,2.21
87,Bugatti,F-Type SVR,2017,6.3,1421,911,3.85
88,W Motors,Supra,2018,4.95,869,1005,2.04
89,Dodge,720S,2023,5.75,1176,806,3.44
90,Chevrolet,Challenger SRT Hellcat,2020,7.47,811,689,2.51
91,Porsche,Supra,2022,5.06,701,1146,3.28
92,Pininfarina,M4,2017,6.94,1168,327,4.44
93,W Motors,M4,2020,6.62,654,1097,2.33
94,Rimac,GT R,2023,4.76,430,872,2.8
95,W Motors,GT-R Nismo,2022,6.71,758,713,3.84
96,Mazda,GT R,2019,4.09,518,540,2.49
97,Dodge,911 Turbo S,2023,5.51,1039,904,2.27
